id_ruta,operador,tiempo_estimado,fecha_planificacion,n_operadores,meta_horas,prob_extra,makespan_simulado
266,Operador 1,16.7,20260719_2001,3,10.0,,
264,Operador 2,18.3,20260719_2001,3,10.0,,
263,Operador 3,8.5,20260719_2001,3,10.0,,
261,Operador 1,17.2,20260719_2001,3,10.0,,
260,Operador 2,15.1,20260719_2001,3,10.0,,
258,Operador 3,11.5,20260719_2001,3,10.0,,
257,Operador 1,14.1,20260719_2001,3,10.0,,
256,Operador 2,15.6,20260719_2001,3,10.0,,
255,Operador 3,18.5,20260719_2001,3,10.0,,
254,Operador 1,15.0,20260719_2001,3,10.0,,
253,Operador 2,15.2,20260719_2001,3,10.0,,
252,Operador 3,13.1,20260719_2001,3,10.0,,
213,Operador 1,14.3,20260719_2001,3,10.0,,
212,Operador 2,15.5,20260719_2001,3,10.0,,
211,Operador 3,18.1,20260719_2001,3,10.0,,
209,Operador 1,12.9,20260719_2001,3,10.0,,
207,Operador 2,19.3,20260719_2001,3,10.0,,
201,Operador 3,16.2,20260719_2001,3,10.0,,
1259,Operador 1,13.4,20260719_2001,3,10.0,,
315,Operador 2,19.3,20260719_2001,3,10.0,,
313,Operador 3,16.3,20260719_2001,3,10.0,,
312,Operador 1,12.7,20260719_2001,3,10.0,,
311,Operador 2,18.8,20260719_2001,3,10.0,,
310,Operador 3,12.3,20260719_2001,3,10.0,,
309,Operador 1,18.8,20260719_2001,3,10.0,,
308,Operador 2,15.6,20260719_2001,3,10.0,,
307,Operador 3,12.8,20260719_2001,3,10.0,,
306,Operador 1,13.4,20260719_2001,3,10.0,,
304,Operador 2,13.7,20260719_2001,3,10.0,,
303,Operador 3,12.6,20260719_2001,3,10.0,,
301,Operador 1,12.3,20260719_2001,3,10.0,,
9435,Operador 2,18.6,20260719_2001,3,10.0,,
9434,Operador 3,15.2,20260719_2001,3,10.0,,
9426,Operador 1,10.9,20260719_2001,3,10.0,,
9425,Operador 2,11.9,20260719_2001,3,10.0,,
