Ruta,Tiempo Estimado (min),Tiempo Estimado (hrs),Perfil,Cluster
8263,49.0,0.82,Estrella,1
7608,9.2,0.15,Normales,0
7613,29.9,0.5,Normales,0
7628,15.3,0.25,Normales,0
7641,10.2,0.17,Normales,0
7648,8.6,0.14,Normales,0
7656,23.8,0.4,Normales,0
7655,14.0,0.23,Normales,0
7653,17.3,0.29,Normales,0
7670,13.9,0.23,Normales,0
7676,25.4,0.42,Normales,0
7704,19.5,0.33,No clasificada,-1
7709,7.1,0.12,Normales,0
7732,7.1,0.12,Normales,0
7743,8.0,0.13,Normales,0
9304,10.5,0.18,Normales,0
9327,3.2,0.05,Normales,0
9352,5.9,0.1,Normales,0
9413,2.4,0.04,Normales,0
304,17.4,0.29,Normales,0
311,23.5,0.39,Normales,0
207,29.7,0.49,Normales,0
210,23.5,0.39,Normales,0
213,19.7,0.33,Normales,0
257,20.0,0.33,Normales,0
261,25.5,0.43,Normales,0
